timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698851854796,382,https://www.talan-academy.com/candidate/profile,200,OK,Thread Group 1-5,text,true,,69964,1113,10,10,https://www.talan-academy.com/#login,75,0,0
1698851854796,75,https://www.talan-academy.com/candidate/profile-0,302,Found,Thread Group 1-5,text,true,,762,565,10,10,https://www.talan-academy.com/candidate/profile,75,0,0
1698851854871,307,https://www.talan-academy.com/candidate/profile-1,200,OK,Thread Group 1-5,text,true,,69202,548,10,10,https://www.talan-academy.com/#login,73,0,0
1698851850257,952,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,140148,2400,10,10,null,328,3969,188
1698851854788,404,https://www.talan-academy.com/candidate/profile,200,OK,Thread Group 1-2,text,true,,69964,1113,10,10,https://www.talan-academy.com/#login,67,0,0
1698851854788,67,https://www.talan-academy.com/candidate/profile-0,302,Found,Thread Group 1-2,text,true,,762,565,10,10,https://www.talan-academy.com/candidate/profile,67,0,0
1698851854856,336,https://www.talan-academy.com/candidate/profile-1,200,OK,Thread Group 1-2,text,true,,69202,548,10,10,https://www.talan-academy.com/#login,71,0,0
1698851850234,988,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,140155,2400,10,10,null,307,3971,178
1698851854552,651,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-3,text,true,,70191,1287,10,10,https://www.talan-academy.com/#login,234,0,172
1698851854552,235,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-3,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,234,0,172
1698851854787,416,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-3,text,true,,69338,597,10,10,https://www.talan-academy.com/#login,84,0,0
1698851854906,380,https://www.talan-academy.com/candidate/profile,200,OK,Thread Group 1-9,text,true,,69964,1113,10,10,https://www.talan-academy.com/#login,69,0,0
1698851854906,70,https://www.talan-academy.com/candidate/profile-0,302,Found,Thread Group 1-9,text,true,,762,565,10,10,https://www.talan-academy.com/candidate/profile,69,0,0
1698851854976,310,https://www.talan-academy.com/candidate/profile-1,200,OK,Thread Group 1-9,text,true,,69202,548,10,10,https://www.talan-academy.com/#login,74,0,0
